pc4,buurt_key,address_count
1692,04201301,10
1693,04201501,1329
1695,04053104,945
1696,04980200,585
1697,04980500,308
1701,19801101,1352
1702,19801301,1117
1703,19801701,1558
1704,19802101,1258
1705,19802301,1487
1706,19802601,1007
1711,15980202,362
1713,15980109,447
1715,04320212,444
1716,04320102,328
1718,04320310,209
1719,04320403,97
1721,19800401,1011
1722,19800301,979
1723,19800201,1551
1724,19800102,789
1731,19111501,410
1732,19111401,182
1733,19111601,832
1734,19111901,78
1735,19111701,696
1736,19111801,90
1738,04410701,863
1741,04411001,1548
1742,04411602,890
1744,04410401,496
1746,04410801,936
1747,04410602,847
1749,04410503,697
1751,04410101,740
1752,04411201,203
1753,04411401,128
1754,04410301,164
1755,04411101,380
1756,04411302,704
1757,04410901,238
1759,04411501,773
1761,19110101,1026
1764,19110201,1046
1766,19110301,795
1767,19111101,464
1768,19111201,283
1769,19111301,51
1771,19110701,909
1773,19110801,255
1774,19110901,604
1775,19111001,761
1777,19110503,849
1778,19110401,307
1779,19110601,1075
1781,04000105,1296
1782,04000200,1309
1783,04000303,928
1784,04000408,923
1785,04000502,860
1786,04000603,113
1787,04000702,1000
1788,04000804,1093
1789,04000300,300
1791,04480000,3660
1792,04480004,637
1793,04480003,111
1794,04480002,571
1795,04480107,1491
1796,04480001,1342
1797,04480005,290
1811,03610800,2004
1812,03610301,262
1813,03610302,1480
1814,03610100,1286
1815,03610802,1114
1816,03610400,2345
1817,03610404,1059
1821,03610203,1017
1822,03611100,1254
1823,03610204,1026
1824,03610500,1305
1825,03610604,1687
1826,03610603,1597
1827,03610701,1461
1829,03610201,1033
1831,03610702,1107
1832,19800601,93
1834,19800501,1755
1841,03610902,868
1842,03610900,213
1843,03610906,292
1844,03610905,81
1846,03610904,136
1847,03610904,79
1851,03990303,1190
1852,03990202,1557
1853,03990504,489
1861,03730103,447
1862,03730107,697
1865,03730200,379
1871,03730700,1541
1873,03730704,675
1901,03830111,1325
1902,03830201,1574
1906,03830701,1406
1911,04500004,1976
1921,03830511,1474
1931,03730400,1507
1934,03730600,1387
1935,03730500,1007
1941,03750002,824
1942,03750101,540
1943,03750300,698
1944,03750301,974
1945,03750702,1433
1946,03750600,1551
1947,03750200,542
1948,03751000,796
1949,03750800,1051
1951,04530500,790
1961,03960100,776
1962,03960800,1035
1963,03960603,1193
1964,03960200,1168
1965,03960901,966
1966,03960302,1367
1967,03961001,1139
1968,03960403,110
1969,03960402,307
1971,04530200,872
1972,04530206,1152
1973,04530402,879
1974,04530405,824
1975,04530302,1461
1976,04530303,1272
1981,04530002,469
1985,04530003,602
1991,04530805,1279
1992,04530806,855
2011,03920102,1448
2012,03920201,1041
2013,03920303,1084
2014,03920403,1430
2015,03920503,1118
2019,03920105,59
2021,03921002,884
2022,03921105,869
2023,03921205,942
2024,03921304,796
2025,03921501,1174
2026,03921603,1031
2031,03920602,1201
2032,03920701,1269
2033,03920803,1346
2034,03921802,1938
2035,03921903,1447
2036,03922005,1025
2037,03922101,1735
2041,04730105,1325
2042,04730203,1188
2051,03770100,1445
2061,03770000,1555
2063,03921702,294
2064,03942038,1291
2065,03942120,97
2071,04530604,567
2082,04530702,767
2101,03970000,1773
2102,03970003,1368
2103,03970001,1259
2104,03970100,606
